2018-11-12 19:38:28.7433 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-12 19:38:28.8640 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-12 19:38:28.8640 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-12 19:38:28.9737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-12 19:38:28.9737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-12 19:38:28.9737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-12 19:38:28.9737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-12 21:01:53.6726 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-12 21:01:53.7080 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-12 21:01:53.7080 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-12 21:01:53.7484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-12 21:01:53.7484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-12 21:01:53.7484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-12 21:01:53.7484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
