2018-11-19 20:03:57.4953 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:03:57.6254 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:03:57.6254 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:03:57.7459 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:11:27.1751 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:11:27.2958 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:11:27.3137 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:11:27.4484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:11:27.4484 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:11:27.4663 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:11:27.4663 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:11:27.4953 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:11:27.4953 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:13:04.2124 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:13:04.2942 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:13:04.2942 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:13:04.3530 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:13:04.3530 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:13:04.3530 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:13:04.3530 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:13:04.3640 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:13:04.3640 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:13:44.8416 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:13:44.9285 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:13:44.9285 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:13:45.0371 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:13:45.0541 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:13:45.0541 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:13:45.0541 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:13:45.0721 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:13:45.0721 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:14:06.4509 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:14:06.5027 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:14:06.5068 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:14:06.5829 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:14:06.5829 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:14:06.5829 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:14:06.5829 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:14:06.6018 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:14:06.6018 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:19:25.4379 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:19:25.5332 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:19:25.5406 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-19 20:19:25.6464 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-19 20:19:25.6464 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-19 20:19:25.6464 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-19 20:19:25.6464 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-19 20:19:25.6673 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created PieViewModel
2018-11-19 20:19:25.6673 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created BarViewModel
2018-11-19 20:19:53.0387 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-19 20:19:53.1095 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-19 20:19:53.1215 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
