2018-11-11 14:25:53.8399 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 14:26:05.5368 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-11 14:26:06.2527 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FF008000
2018-11-11 14:26:19.1904 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label3
2018-11-11 14:26:19.9114 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed background color of label3 to #FFFFFF00
2018-11-11 14:27:08.9502 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label2
2018-11-11 14:27:11.1000 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label2 to #FFFF0000
2018-11-11 14:30:29.1732 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 14:30:29.2290 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 14:30:29.2290 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 14:30:29.3048 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 14:30:29.3048 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 14:30:29.3048 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 14:37:47.0733 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 14:37:47.2319 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 14:37:47.2319 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 14:37:48.0507 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 14:37:48.0507 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 14:37:48.0507 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 14:38:48.8311 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 14:38:48.8760 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 14:38:48.8790 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
