2018-11-07 10:59:49.6430 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 10:59:49.7608 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 10:59:57.1160 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-07 11:01:04.2123 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:01:04.3938 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:01:08.5983 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-07 11:01:12.8719 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FFA52A2A
2018-11-07 11:05:44.0598 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:05:44.1356 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:07:48.6339 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:07:48.7227 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:11:56.2179 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:11:56.3075 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:12:28.4595 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:12:28.5758 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:20:25.2162 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:20:25.2860 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:20:53.6270 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:20:53.7277 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:21:02.4372 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-07 11:21:04.8829 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FFA52A2A
2018-11-07 11:21:11.2403 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FF008000
2018-11-07 11:21:13.4189 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FFA52A2A
2018-11-07 11:33:36.6422 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:33:36.7559 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:34:56.2772 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:34:56.5056 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:36:19.5182 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:36:19.6398 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:41:43.9023 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:41:44.0729 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 11:42:32.2037 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 11:42:32.3683 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:26:24.3623 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:26:24.4770 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:49:17.6121 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:49:17.7287 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:53:03.2518 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:53:03.5849 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:53:23.2655 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:53:23.4829 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:54:14.8848 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:54:15.2847 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:54:53.6821 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:54:53.7886 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:55:55.9382 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:55:56.0130 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:56:10.4897 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:56:10.6532 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 13:56:35.7742 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 13:56:35.8440 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:01:17.4154 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:01:17.5770 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:22:01.4320 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:22:01.5018 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:22:33.5950 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:22:33.6827 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:24:07.1849 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:24:07.2707 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:25:34.3222 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:25:34.5237 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:26:11.4762 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:26:11.7046 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-07 14:27:19.6277 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-07 14:27:20.3128 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FFFFFF00
2018-11-07 14:27:23.2338 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label2
2018-11-07 14:27:24.0734 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed background color of label2 to #FFFF0000
2018-11-07 14:29:15.2513 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-07 14:29:15.3172 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
