2018-11-08 12:14:46.1855 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:14:46.1855 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:17:00.0944 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:17:00.1781 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:17:00.1781 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:22:41.5842 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:22:41.6920 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:22:41.6920 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:22:47.3476 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Datei geöffnet unter D:\Alex Stenke\Desktop\Testfile.txt
2018-11-08 12:23:05.1851 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Datei gespeichert unter D:\Alex Stenke\Desktop\Testfile2.txt
2018-11-08 12:23:10.6623 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Datei geöffnet unter D:\Alex Stenke\Desktop\Testfile2.txt
2018-11-08 12:24:42.0372 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:24:42.0841 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Neues Programm gestartet
2018-11-08 12:24:42.0841 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:24:42.1489 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:24:42.1489 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:24:46.2643 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-08 12:24:47.0252 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FF008000
2018-11-08 12:24:51.6143 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label2
2018-11-08 12:24:52.3539 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed background color of label2 to #FF0000FF
2018-11-08 12:25:04.4995 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Datei geöffnet unter D:\Alex Stenke\Desktop\Testfile.txt
2018-11-08 12:26:27.1015 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:26:27.1384 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:26:27.1384 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:26:27.2212 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:26:27.2212 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:26:58.1167 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Saved file under D:\Alex Stenke\Desktop\Testfile.txt
2018-11-08 12:27:29.6107 | INFO  | TestWpf.Visualization.ViewModels.MenuBarViewModel | Opened file under D:\Alex Stenke\Desktop\Testfile.txt
2018-11-08 12:32:40.6437 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:32:40.6906 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:32:40.6906 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:32:40.7564 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:32:40.7564 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:45:53.7066 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:45:53.7685 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:45:53.7685 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:45:53.8453 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:45:53.8453 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:45:53.8453 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 12:46:33.3619 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:46:33.3959 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:46:33.3959 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:46:33.4417 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:46:33.4417 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:46:33.4417 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 12:46:54.3869 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:46:54.4448 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:46:54.4578 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:46:54.5355 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:46:54.5355 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:46:54.5465 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 12:47:24.1619 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:47:24.2088 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:47:24.2088 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:47:24.2527 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:47:24.2527 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:47:24.2527 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 12:52:44.9521 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 12:52:44.9930 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 12:52:45.2783 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 12:52:45.3321 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 12:52:45.3431 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 12:52:45.3431 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 20:53:45.1652 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 20:53:45.2040 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 20:53:45.2040 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 20:53:45.2439 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 20:53:45.2439 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 20:53:45.2439 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 20:54:08.0169 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 20:54:08.0518 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 20:54:08.0518 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 20:54:08.0967 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 20:54:08.0967 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 20:54:08.0967 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 20:57:25.9941 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 20:57:26.0430 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 20:57:26.0450 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 20:57:26.0779 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 20:57:26.0779 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 20:57:26.0779 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 20:58:46.2969 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 20:58:46.3498 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 20:58:46.3498 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 20:58:46.4994 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 20:58:46.4994 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 20:58:46.4994 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 20:59:37.1413 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 20:59:37.1952 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 20:59:37.1952 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 20:59:37.3198 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 20:59:37.3198 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 20:59:37.3198 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:04:28.4206 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:04:28.4555 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:04:28.4555 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:04:28.6391 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:04:28.6391 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:04:28.6391 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:05:06.2415 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:05:06.2823 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:05:06.2963 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:05:06.5995 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:05:06.5995 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:05:06.5995 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:05:28.2109 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:05:28.2668 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:05:28.2668 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:05:28.4064 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:05:28.4064 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:05:28.4064 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:09:11.4886 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:09:11.5265 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:09:11.5305 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
